Time Period,GDP Growth
01-01-2006,7.170717567
01-02-2006,4.664910703
01-03-2006,2.693454753
01-04-2006,-0.052716717
01-05-2006,-0.154665962
01-06-2006,-0.26280621
01-07-2006,-0.390988363
01-08-2006,1.936782175
01-09-2006,3.354959321
01-10-2006,4.079335672
01-11-2006,3.583808824
01-12-2006,2.771387957
01-01-2007,-0.893683682
01-02-2007,0.876074426
01-03-2007,2.61092036
01-04-2007,2.572384066
01-05-2007,3.030807666
01-06-2007,2.074473107
01-07-2007,1.359924999
01-08-2007,2.882658568
01-09-2007,3.658385664
01-10-2007,3.537442297
01-11-2007,1.872133971
01-12-2007,-2.011117574
01-01-2008,-3.379211702
01-02-2008,-2.250298183
01-03-2008,1.389383871
01-04-2008,4.452264694
01-05-2008,3.184586764
01-06-2008,1.119969662
01-07-2008,-1.813369313
01-08-2008,-4.895311971
01-09-2008,-9.15376418
01-10-2008,-9.310821075
01-11-2008,-10.56162948
01-12-2008,-7.411872557
01-01-2009,-4.142809275
01-02-2009,-0.563978069
01-03-2009,-2.149839585
01-04-2009,-0.482168007
01-05-2009,-0.04214328
01-06-2009,-0.061089201
01-07-2009,1.258062718
01-08-2009,2.218530894
01-09-2009,4.587996385
01-10-2009,5.531804126
01-11-2009,4.516210076
01-12-2009,1.687576283
01-01-2010,1.030046675
01-02-2010,1.145728329
01-03-2010,4.114751858
01-04-2010,4.696771957
01-05-2010,4.058981471
01-06-2010,3.092489928
01-07-2010,2.857103986
01-08-2010,2.861598363
01-09-2010,3.113195737
01-10-2010,2.794085643
01-11-2010,1.259815478
01-12-2010,-1.134981993
01-01-2011,-3.026171337
01-02-2011,-1.342043169
01-03-2011,4.208779232
01-04-2011,4.191869923
01-05-2011,2.519820933
01-06-2011,-0.411982376
01-07-2011,-1.901247705
01-08-2011,-0.062731073
01-09-2011,3.330211673
01-10-2011,6.332956864
01-11-2011,5.153943404
01-12-2011,4.306280201
01-01-2012,3.171833304
01-02-2012,2.461824246
01-03-2012,1.852111969
01-04-2012,1.866113506
01-05-2012,1.686286844
01-06-2012,0.89224985
01-07-2012,0.732866456
01-08-2012,-0.054642955
01-09-2012,-0.363359663
01-10-2012,-0.807832362
01-11-2012,1.642865484
01-12-2012,4.079359527
01-01-2013,5.069879418
01-02-2013,4.786347055
01-03-2013,0.748336452
01-04-2013,-0.420253131
01-05-2013,1.21615869
01-06-2013,2.173354887
01-07-2013,3.160688755
01-08-2013,5.098146091
01-09-2013,5.283383717
01-10-2013,4.417762376
01-11-2013,2.353550847
01-12-2013,-2.398067198
01-01-2014,-4.423033327
01-02-2014,-0.544316091
01-03-2014,4.369979285
01-04-2014,6.197706245
01-05-2014,6.656185867
01-06-2014,6.099961038
01-07-2014,5.393799971
01-08-2014,3.308894114
01-09-2014,1.829196677
01-10-2014,0.940418593
01-11-2014,2.202036257
01-12-2014,3.96988019
01-01-2015,3.802823428
01-02-2015,3.456956102
01-03-2015,3.810175644
01-04-2015,2.193312315
01-05-2015,1.394304317
01-06-2015,1.779762903
01-07-2015,2.248184471
01-08-2015,1.101328468
01-09-2015,0.483828666
01-10-2015,0.281030976
01-11-2015,0.639904812
01-12-2015,2.445534851
01-01-2016,3.214592152
01-02-2016,2.438360496
01-03-2016,0.754045402
01-04-2016,0.788185892
01-05-2016,1.038801918
01-06-2016,3.149737351
01-07-2016,3.429163873
01-08-2016,2.72091258
01-09-2016,2.37487357
01-10-2016,2.074728491
01-11-2016,1.823707297
01-12-2016,2.573484353
01-01-2017,1.932632409
01-02-2017,1.49450107
01-03-2017,1.71100761
01-04-2017,2.439086616
01-05-2017,2.317370926
01-06-2017,3.229618784
01-07-2017,2.808458029
01-08-2017,3.426505317
01-09-2017,4.235810242
01-10-2017,5.131734682
01-11-2017,4.640099613
01-12-2017,3.775676419
01-01-2018,2.593917349
01-02-2018,3.649722407
01-03-2018,1.887090842
01-04-2018,1.739939629
01-05-2018,1.779955563
01-06-2018,2.855687032
01-07-2018,2.88925607
01-08-2018,2.690850117
01-09-2018,0.846458782
01-10-2018,-0.386061886
01-11-2018,0.235248562
01-12-2018,1.395947299
01-01-2019,2.552500371
01-02-2019,2.768695633
01-03-2019,3.280911219
01-04-2019,2.580842123
01-05-2019,4.006854349
01-06-2019,4.644365095
01-07-2019,5.022116018
01-08-2019,5.043021989
01-09-2019,2.089525968
01-10-2019,0.786488948
01-11-2019,3.195610423
01-12-2019,5.039763868
01-01-2020,2.268309769
01-02-2020,-12.46969505
01-03-2020,-44.5350851
01-04-2020,-68.49432188
01-05-2020,-10.6733842
01-06-2020,32.44384174
01-07-2020,46.18370353
01-08-2020,33.02918136
01-09-2020,10.20943834
01-10-2020,-3.810381672
01-11-2020,-4.329398394
01-12-2020,3.710882032
01-01-2021,8.214684205
01-02-2021,3.889054613
01-03-2021,10.46712103
01-04-2021,6.09561767
01-05-2021,4.255776157
01-06-2021,2.677199718
01-07-2021,2.220371258
01-08-2021,3.152295425
01-09-2021,6.633068453
01-10-2021,10.14506833
01-11-2021,7.077770916
01-12-2021,-0.44099295
01-01-2022,-5.523837203
01-02-2022,-3.416955565
01-03-2022,-0.746417995
01-04-2022,-0.458668931
01-05-2022,-0.021613618
01-06-2022,1.241458478
01-07-2022,3.229237223
01-08-2022,3.842525294
01-09-2022,3.786233423
01-10-2022,2.776709597
01-11-2022,0.980237773
01-12-2022,1.105951277
01-01-2023,3.896496802
01-02-2023,2.163672242
01-03-2023,0.757381578
01-04-2023,1.814446792
01-05-2023,2.655141423
01-06-2023,3.934292505
01-07-2023,5.732052036
01-08-2023,5.267007643
01-09-2023,4.464103368
01-10-2023,2.339863931
01-11-2023,2.632318497
01-12-2023,1.94781987
